# Parameters:,Wind direction:,14°,Mach:,0.300 ​,Roll rate:,0 °/s,Active stages:,Sustainer,Flight configuration:,[E24C-4]
# 37 data points written for 1 variables.
# Angle of attack,CP (NExt rocket) (cm)
0,34.791
0.087,33.783
0.175,33.042
0.262,32.489
0.349,32.072
0.436,31.757
0.524,31.522
0.611,31.352
0.698,31.235
0.785,31.164
0.873,31.135
0.96,31.142
1.047,31.186
1.134,31.264
1.222,31.377
1.309,31.527
1.396,31.715
1.484,31.944
1.571,32.219
1.658,32.543
1.745,32.923
1.833,33.364
1.92,33.874
2.007,34.46
2.094,35.13
2.182,35.89
2.269,36.746
2.356,37.699
2.443,38.744
2.531,39.871
2.618,41.058
2.705,42.269
2.793,43.46
2.88,44.575
2.967,45.555
3.054,46.349
3.142,46.916
